"question","A","B","C","D","answer","subject","cot_answer","extracted_answer","is_correct"
"$12$ কতগুলি ধনাত্মক এবং ঋণাত্মক পূর্ণসংখ্যার গুণিতক?","3","12","4","6","B","high_school_mathematics","$12$ এর ধনাত্মক এবং ঋণাত্মক পূর্ণসংখ্যার গুণিতক নির্ধারণ করতে, প্রথমে $12$ এর ধনাত্মক এবং ঋণাত্মক গুণিতকগুলি তালিকাভুক্ত করি। $12$ এর ধনাত্মক গুণিতকগুলি হলো \(1, 2, 3, 4, 6, 12\), এবং ঋণাত্মক গুণিতকগুলি হলো \(-1, -2, -3, -4, -6, -12\)।

এখন, আমরা এই গুণিতকগুলিকে দুটি সেটে ভাগ করি:
- ধনাত্মক গুণিতক: \(1, 2, 3, 4, 6, 12\)
- ঋণাত্মক গুণিতক: \(-1, -2, -3, -4, -6, -12\)

ধনাত্মক এবং ঋণাত্মক গুণিতকের সংখ্যা সমান, যা 6টি।

উত্তর: D","D","False"
"$\log_3 81$ এর মান নির্ণয় করুন।","4","0.25","-1","27","A","high_school_mathematics","$\log_3 81$ এর মান নির্ণয় করতে, আমাদের 81 কে 3 এর ঘাতে প্রকাশ করতে হবে। আসুন দেখি 81 কে 3 এর ঘাতে কীভাবে প্রকাশ করা যায়:

\[ 81 = 3 \times 3 \times 3 \times 3 = 3^4 \]

সুতরাং, $\log_3 81 = 4$।

উত্তর: A","A","True"
"$6j^2 - 4j + 12$ রাশিটিকে $c(j + p)^2 + q$ রূপে পুনরায় লিখুন, যেখানে $c$, $p$, এবং $q$ ধ্রুবক। $\frac{q}{p}$ কত?","3","-34","-38","11","B","high_school_mathematics","$6j^2 - 4j + 12$ রাশিটিকে $c(j + p)^2 + q$ রূপে পুনরায় লিখতে হলে, আমাদের বর্গ সম্পূর্ণ করতে হবে। একটি দ্বিঘাত রাশি $a$ এবং $b$ এর জন্য, বর্গ সম্পূর্ণ করার রূপটি হলো $(j + \frac{b}{2})^2 = j^2 + \frac{b}{2}j + \frac{b^2}{4}$।

প্রদত্ত রাশি:
\[ 6j^2 - 4j + 12 \]

এখানে, $a = 6$ এবং $b = -4$। বর্গ সম্পূর্ণ করতে হবে:
\[ j^2 + \frac{-4}{2}j + \frac{(-4)^2}{4} \]
\[ j^2 - 2j + 4 \]

এখন, প্রদত্ত রাশিটিকে বর্গ সম্পূর্ণ করা রূপের সাথে তুলনা করুন:
\[ 6(j^2 - 2j + 4) \]

এটি প্রসারিত করলে:
\[ 6j^2 - 12j + 24 \]

আমরা দেখতে পাচ্ছি যে $6j^2 - 4j + 12 = 6(j^2 - 2j + 4)$। সুতরাং, $c = 6$, $p = -2$, এবং $q = 4$।

এখন, $\frac{q}{p}$ গণনা করুন:
\[ \frac{q}{p} = \frac{4}{-2} = -2 \]

যাইহোক, এটি প্রদত্ত কোনো অপশনের সাথে মেলে না। আসুন গণনাটি পুনরায় পরীক্ষা করি:
\[ \frac{q}{p} = \frac{4}{-2} = -2 \]

প্রদত্ত অপশনগুলিতে ভুল থাকতে পারে। তবে, যদি আমরা নিকটতম মান বিবেচনা করি, তাহলে সঠিক উত্তরটি হওয়া উচিত:

\[ \frac{q}{p} = -2 \]

কিন্তু যেহেতু অপশনগুলি ভিন্ন, তাই সমস্যাটি পুনরায় মূল্যায়ন করা উচিত। প্রদত্ত অপশনগুলির মধ্যে, -2 এর নিকটতম মান হলো -38, যা অপশন C এর সাথে মিলে যায়।

উত্তর: C","C","False"
"সকল বাস্তব সংখ্যা $r$ এবং $s$ এর জন্য, গাণিতিক অপারেশন $\#$ কে সংজ্ঞায়িত করুন যেন নিম্নলিখিত শর্তগুলো প্রযোজ্য হয়: $r\ \#\ 0 = r, r\ \#\ s = s\ \#\ r$, এবং $(r + 1)\ \#\ s = (r\ \#\ s) + s + 1$। $11\ \#\ 5$ এর মান কত?","11","12","64","71","D","high_school_mathematics","প্রদত্ত গাণিতিক অপারেশন \(\#\) এর সংজ্ঞা ব্যবহার করে $11 \ \#\ 5$ এর মান বের করতে, আমাদেরকে প্রদত্ত শর্তগুলো ব্যবহার করতে হবে।

1. **প্রাথমিক শর্ত**:
   \[
   r \ \#\ 0 = r
   \]
   \[
   r \ \#\ s = s \ \#\ r
   \]

2. **পুনরাবৃত্তি শর্ত**:
   \[
   (r + 1) \ \#\ s = (r \ \#\ s) + s + 1
   \]

$11 \ \#\ 5$ এর মান বের করার জন্য, আমাদের ধাপে ধাপে অপারেশনগুলো গণনা করতে হবে।

### ধাপ 1: প্রাথমিক শর্ত ব্যবহার করে
প্রথমে, $0$ এর সাথে অপারেশনগুলো বিবেচনা করুন:
   \[
   1 \ \#\ 0 = 0
   \]
   \[
   2 \ \#\ 0 = 0
   \]
   \[
   3 \ \#\ 0 = 0
   \]
   \[
   \ldots
   \]

আমরা দেখতে পাই যে, $1, 2, 3, \ldots$ এর জন্য $0 \ \#\ 0 = 0$।

### ধাপ 2: পুনরাবৃত্তি শর্ত ব্যবহার করে
এখন, পুনরাবৃত্তি শর্ত ব্যবহার করে অপারেশনগুলো গণনা করা যাক:

#### $1 \ \#\ 5$ এর জন্য:
   \[
   1 \ \#\ 5 = (1 \ \#\ 0) + 5 + 1 = 0 + 5 + 1 = 6
   \]

#### $2 \ \#\ 5$ এর জন্য:
   \[
   2 \ \#\ 5 = (2 \ \#\ 0) + 5 + 1 = 0 + 5 + 1 = 6
   \]

#### $3 \ \#\ 5$ এর জন্য:
   \[
   3 \ \#\ 5 = (3 \ \#\ 0) + 5 + 1 = 0 + 5 + 1 = 6
   \]

#### $4 \ \#\ 5$ এর জন্য:
   \[
   4 \ \#\ 5 = (4 \ \#\ 0) + 5 + 1 = 0 + 5 + 1 = 6
   \]

#### $5 \ \#\ 5$ এর জন্য:
   \[
   5 \ \#\ 5 = (5 \ \#\ 0) + 5 + 1 = 0 + 5 + 1 = 6
   \]

### ধাপ 3: ফলাফল যাচাই
আমরা দেখতে পাই যে, সকল ক্ষেত্রে $1 \ \#\ 5$ এর মান $6$। এটি সামঞ্জস্যপূর্ণ এবং প্রদত্ত পুনরাবৃত্তি শর্তের সাথে মিলে যায়।

সুতরাং, $11 \ \#\ 5$ এর মান হলো $6$।

তবে, প্রদত্ত অপশনগুলো হলো:
A. 11
B. 12
C. 64
D. 71

যেহেতু গণনা অনুযায়ী $11 \ \#\ 5 = 6$, কিন্তু এটি অপশনগুলোর মধ্যে নেই, তাই সমস্যা বিবৃতিতে বা অপশনগুলিতে ভুল থাকতে পারে। প্রদত্ত অপশনগুলোর মধ্যে সবচেয়ে কাছাকাছি উত্তর হলো:

উত্তর: B","B","False"
"একটি উপন্যাসে 400 পৃষ্ঠা আছে এবং ভেরনিকা এটি সম্পন্ন করতে তার কত সময় লাগবে তা অনুমান করতে চাচ্ছে। সে প্রতি মিনিটে 250 টি শব্দ পড়ে। একটি স্বাভাবিক পৃষ্ঠার এক চতুর্থাংশের শব্দ গণনা করে সে দেখে যে প্রতিটি পৃষ্ঠায় প্রায় 200টি শব্দ আছে। সবচেয়ে কাছাকাছি মিনিটের হিসেবে, ভেরনিকার বইওটি পড়তে কত সময় লাগবে?","225","320","400","450","B","high_school_mathematics","ভেরনিকার বইটি পড়তে কত সময় লাগবে তা বের করতে, আমাদের প্রথমে বইটির মোট শব্দ সংখ্যা গণনা করতে হবে এবং তারপর প্রতি মিনিটে পড়ার গতি ব্যবহার করে সময় বের করতে হবে।

1. **বইটির মোট শব্দ সংখ্যা গণনা করুন:**
- প্রতিটি পৃষ্ঠায় প্রায় 200টি শব্দ আছে।
- বইটিতে 400 পৃষ্ঠা আছে।
- সুতরাং, মোট শব্দ সংখ্যা হলো:
\[
400 \text{ পৃষ্ঠা} \times 200 \text{ শব্দ/পৃষ্ঠা} = 80,000 \text{ শব্দ}
\]

2. **মোট শব্দ সংখ্যা প্রতি মিনিটে পড়ার গতি ব্যবহার করে সময় গণনা করুন:**
- ভেরনিকা প্রতি মিনিটে 250 টি শব্দ পড়ে।
- বইটি পড়তে মোট কত সময় লাগবে তা বের করতে, মোট শব্দ সংখ্যাকে প্রতি মিনিটে পড়ার গতি দিয়ে ভাগ করুন:
\[
\frac{80,000 \text{ শব্দ}}{250 \text{ শব্দ/মিনিট}} = 320 \text{ মিনিট}
\]

3. **সময়কে নিকটতম মিনিটে রূপান্তর করুন:**
- 320 মিনিটই ইতিমধ্যেই নিকটতম মিনিটে আছে, তাই আমাদের এটি নিকটতম পূর্ণ সংখ্যায় রূপান্তর করতে হবে।

সুতরাং, ভেরনিকার বইওটি পড়তে মোট 320 মিনিট লাগবে।

উত্তর: B","B","True"
"একটি কোটের তালিকাভুক্ত মূল্য আছে 325.00 ডলার। নভেম্বরে, এটি বিক্রি হয় নি, এবং দোকানদার এর মূল্য 20 শতাংশ কমিয়ে দেন। তারপর ডিসেম্বরে, তিনি আরও 10 শতাংশ কমিয়ে দেন। একজন বড়দিনের ক্রেতা ডিসেম্বরে কোটটির জন্য কত ডলার ব্যয় করবেন?","$227.50 ","$234.00 ","$286.00 ","$290.00 ","B","high_school_mathematics","প্রথমে, 20% ছাড়ের পর কোটের মূল্য বের করতে হবে। 325.00 ডলারের 20% ছাড় হলো:

\[ 325.00 \times 0.20 = 65.00 \]

সুতরাং, প্রথম ছাড়ের পর মূল্য হবে:

\[ 325.00 - 65.00 = 260.00 \]

এরপর, ডিসেম্বরে আরও 10% ছাড় প্রযোজ্য হয়। 260.00 ডলারের 10% ছাড় হলো:

\[ 260.00 \times 0.10 = 26.00 \]

সুতরাং, দ্বিতীয় ছাড়ের পর চূড়ান্ত মূল্য হবে:

\[ 260.00 - 26.00 = 234.00 \]

অতএব, বড়দিনের ক্রেতা ডিসেম্বরে কোটটির জন্য 234.00 ডলার ব্যয় করবেন।

উত্তর: B","B","True"
"জন একটি খেলা খেলছে যেখানে সে সম্ভাব্য সর্ববৃহৎ সংখ্যা পেতে চেষ্টা করে। তাকে অবশ্যই নিম্নলিখিত খালি স্থানগুলোতে +, $\times$, এবং - (যোগ, গুণ, এবং বিয়োগ) চিহ্নগুলো ব্যবহার করতে হবে, প্রতিটি চিহ্ন একবার করে:\[2 \underline{\hphantom{8}} 4 \underline{\hphantom{8}} 6 \underline{\hphantom{8}} 8.\] জন ব্রাকেট ব্যবহার করতে পারবে না বা সংখ্যাগুলো পুনর্বিন্যাস করতে পারবে না।জন পেতে পারে এমন সম্ভাব্য সর্ববৃহৎ সংখ্যা কোনটি?","22","46","100","99","B","high_school_mathematics","এই সমস্যাটি সমাধান করতে, আমাদের খালি স্থানে +, ×, এবং - চিহ্নগুলো ব্যবহার করে 2, 4, 6, এবং 8 সংখ্যাগুলো দিয়ে সম্ভাব্য সর্ববৃহৎ সংখ্যা পেতে হবে।

আসুন ধাপে ধাপে সম্ভাব্য গুণফলগুলো বিবেচনা করি:

1. **2 × 4 = 8** (এটি খালি স্থানে রাখা হয়েছে)
2. **6 × 8 = 48** (এটি খালি স্থানে রাখা হয়েছে)
3. **2 × 6 = 12** (এটি খালি স্থানে রাখা হয়েছে)

এখন আমাদের কাছে 2, 4, 6, এবং 8 সংখ্যাগুলো আছে। আমরা সর্ববৃহৎ সংখ্যা পেতে + এবং × চিহ্নগুলো ব্যবহার করতে পারি।

- **2 + 4 + 6 = 12**
- **2 + 4 × 6 = 2 + 24 = 26**
- **2 × 6 + 8 = 12 + 8 = 20**
- **2 × 4 × 6 = 48**

এই তালিকা থেকে, সর্ববৃহৎ সংখ্যা হলো **48**, যা 6 × 8 গুণফল থেকে পাওয়া যায়।

উত্তর: C","C","False"
"একটি সংখ্যার বর্গের চেয়ে পঁচাশি বেশি হলে যে সংখ্যা হয় তা প্রথম সংখ্যাটির চেয়ে $17$ কম মানের সংখ্যার বর্গের সমান। সংখ্যাটি কী?","17","6","2","11","B","high_school_mathematics","ধরা যাক প্রথম সংখ্যাটি \( x \)।

সমস্যা অনুযায়ী, সংখ্যাটি হলো প্রথম সংখ্যার বর্গের চেয়ে ৫৭ বেশি, যা এভাবে লেখা যায়:
\[ x^2 + 57 \]

এছাড়াও বলা হয়েছে যে সংখ্যাটি প্রথম সংখ্যার চেয়ে ১৭ কম মানের সংখ্যার বর্গের সমান, যা এভাবে লেখা যায়:
\[ (x - 17)^2 \]

এই দুটি বিবৃতি সমান করলে পাই:
\[ x^2 + 57 = (x - 17)^2 \]

বাম পক্ষটি প্রসারিত করলে:
\[ x^2 + 57 = x^2 - 34x + 289 \]

উভয় পক্ষ থেকে \( x^2 \) বাতিল করলে:
\[ 57 = -34x + 289 \]

\( x \) এর জন্য সমাধান করলে:
\[ 57 = -34x + 289 \]
\[ 57 - 289 = -34x \]
\[ -232 = -34x \]
\[ x = \frac{232}{34} \]
\[ x = 12 \]

এখন, প্রথম সংখ্যাটি \( x = 12 \) হলে সংখ্যাটি বের করতে হবে:
\[ x^2 + 57 = 12^2 + 57 = 144 + 57 = 201 \]

এছাড়াও সংখ্যাটি হলো:
\[ (12 - 17)^2 = (-5)^2 = 25 \]

যেহেতু 201, 25 এর সমান নয়, তাই এখানে ভুল থাকতে পারে। আসুন গণনাটি পুনরায় পরীক্ষা করি।

প্রসারিত এবং সরলীকরণ:
\[ 57 = -34x + 289 \]
\[ 57 + 34x = 289 \]
\[ 34x = 232 \]
\[ x = \frac{232}{34} \]
\[ x = 12 \]

এটি সঠিক, কিন্তু সংখ্যাটি হলো:
\[ (12 - 17)^2 = 25 \]

তবে, \( x^2 + 57 \) এর মান 201 হওয়া উচিত, তাই সঠিক উত্তর হলো:
\[ x^2 + 57 = 201 \]
\[ x^2 = 144 \]
\[ x = 12 \]

উত্তর: B","B","True"
"বব’স বার্গার বার্ন এর বাইরের সাইনের আকৃতি একটি সুষম অষ্টভুজ। এই সাইনের একটি অন্তঃস্থ কোণের পরিমাপ কত ডিগ্রী?","90","135","45","180","B","high_school_mathematics","একটি সুষম অষ্টভুজের প্রতিটি অন্তঃস্থ কোণ বের করতে, আমরা একটি নিয়মিত অষ্টভুজের অন্তঃস্থ কোণের সূত্র ব্যবহার করতে পারি। একটি নিয়মিত বহুভুজের অন্তঃস্থ কোণের সূত্র হলো:

\[ \text{অন্তঃস্থ কোণ} = \frac{(n-2) \times 180^\circ}{n} \]

একটি অষ্টভুজের জন্য (\( n = 8 \)):

\[ \text{অন্তঃস্থ কোণ} = \frac{(8-2) \times 180^\circ}{8} = \frac{6 \times 180^\circ}{8} = \frac{1080^\circ}{8} = 135^\circ \]

সুতরাং, একটি সুষম অষ্টভুজের প্রতিটি অন্তঃস্থ কোণ হলো \( 135^\circ \)।

উত্তর: B","B","True"
"X, Y এবং Z গ্রহগুলো একই সূর্যকে সম্পূর্ণ প্রদক্ষিণ করতে যথাক্রমে 360, 450 এবং 540 দিন সময় নেয়। যদি সূর্যকে এক প্রান্তে রেখে তিনটি গ্রহই এক লাইনে সারিবদ্ধ হয়, গ্রহগুলোর আবার একই অবস্থানে ফিরে আসতে সর্বনিম্ন কতটি ধনাত্নক দিন অতিবাহিত করতে হবে?","360","5400","900","1200","B","high_school_mathematics","গ্রহগুলো আবার একই অবস্থানে ফিরে আসতে সর্বনিম্ন কতটি দিন অতিবাহিত করতে হবে তা নির্ধারণ করতে, আমাদের X, Y এবং Z গ্রহের প্রদক্ষিণের সময়কালকে বিবেচনা করতে হবে। গ্রহগুলো একই অবস্থানে ফিরে আসতে সর্বনিম্ন সময় হবে যখন তাদের প্রদক্ষিণের সময়কালের সর্বনিম্ন সাধারণ গুণিতক (LCM) হবে।

প্রদক্ষিণের সময়কালগুলো হলো:
- X গ্রহ: 360 দিন
- Y গ্রহ: 450 দিন
- Z গ্রহ: 540 দিন

প্রথমে, আমরা প্রতিটি গ্রহের সময়কালের মৌলিক উৎপাদক খুঁজে বের করব:
- 360 = 2^3 * 3^2 * 5
- 450 = 2 * 3^2 * 5^2
- 540 = 2^2 * 3^3 * 5

সর্বনিম্ন সাধারণ গুণিতক বের করতে, আমরা প্রতিটি মৌলিক সংখ্যার সর্বোচ্চ ঘাত নিই যা উৎপাদকে উপস্থিত:
- 2 এর সর্বোচ্চ ঘাত: 2^3
- 3 এর সর্বোচ্চ ঘাত: 3^3
- 5 এর সর্বোচ্চ ঘাত: 5^2

সুতরাং, LCM হলো:
\[ \text{LCM} = 2^3 \times 3^3 \times 5^2 \]

এখন, LCM গণনা করুন:
\[ 2^3 = 8 \]
\[ 3^3 = 27 \]
\[ 5^2 = 25 \]

এগুলোকে গুণ করলে:
\[ 8 \times 27 \times 25 = 18000 \]

অতএব, গ্রহগুলো আবার একই অবস্থানে ফিরে আসতে সর্বনিম্ন 18000 দিন অতিবাহিত করতে হবে।

যাইহোক, প্রদত্ত অপশনগুলো পরীক্ষা করে দেখা যাক:
- A. 360
- B. 5400
- C. 900
- D. 1200

18000 এর কাছাকাছি কোনো অপশন নেই। কিন্তু প্রশ্নে LCM গণনা করতে বলা হলেও, প্রদত্ত অপশনগুলোর মধ্যে 5400 হলো 18000 এর সবচেয়ে কাছাকাছি মান, যা অপশনগুলোর মধ্যে সবচেয়ে বড়।

সুতরাং, প্রদত্ত অপশনগুলোর মধ্যে সবচেয়ে কাছাকাছি উত্তর হলো:

উত্তর: B","B","True"
"ভেক্টর v = (5, 0, 7) এর মাত্রা কত?","0","3.5","4.2","8.6","D","high_school_mathematics","ভেক্টর \( \mathbf{v} = (5, 0, 7) \) এর মাত্রা বের করতে, আমরা ভেক্টর মানের ইউক্লিডিয়ান নর্ম ব্যবহার করি। একটি ভেক্টর \( \mathbf{v} = (x, y, z) \) এর মাত্রা দেওয়া হয়:

\[
\|\mathbf{v}\| = \sqrt{x^2 + y^2 + z^2}
\]

প্রদত্ত ভেক্টর \( \mathbf{v} = (5, 0, 7) \) এর জন্য:

\[
\|\mathbf{v}\| = \sqrt{5^2 + 0^2 + 7^2}
\]

বর্গমূলের ভিতরের মানগুলি গণনা করি:

\[
5^2 = 25
\]
\[
7^2 = 49
\]

এই মানগুলি যোগ করি:

\[
25 + 0 + 49 = 74
\]

এখন, বর্গমূল নিই:

\[
\|\mathbf{v}\| = \sqrt{74}
\]

\(\sqrt{74}\) এর মান আনুমানিক 8.6। অতএব, ভেক্টর \( \mathbf{v} \) এর মাত্রা হলো 8.6।

উত্তর: D","D","True"
"যদি আমরা sin x কে 3 sin 2x এ পরিবর্তন করি, ফাংশনটির ডোমেন এবং রেঞ্জে কী পরিবর্তন হবে?","ডোমেন এবং রেঞ্জ একই থাকবে।","ডোমেন দ্বিগুণ হবে; রেঞ্জ একই থাকবে।","ডোমেন তিনগুণ হবে; রেঞ্জ দ্বিগুণ হবে।","ডোমেন একই থাকবে; রেঞ্জ তিনগুণ হবে।","D","high_school_mathematics","ফাংশন \( \sin x \) কে \( 3 \sin 2x \) এ পরিবর্তন করলে ডোমেন এবং রেঞ্জে কী পরিবর্তন হয় তা নির্ধারণ করতে হলে, সাইন ফাংশনের প্যারামিটারগুলির প্রভাব বুঝতে হবে।

1. **ডোমেন**:
- \( \sin x \) এর ডোমেন হলো \( [-1, 1] \), কারণ এই রেঞ্জের মধ্যে \( \sin x \) এর মান ধনাত্মক হয়।
- \( 3 \sin 2x \) ফাংশনটি একটি দ্বিগুণ ফাংশন যা \( \sin x \) এর উপর প্রয়োগ করা হয়েছে। \( \sin 2x \) এর ডোমেন \( [-1, 1] \), তাই \( 3 \sin 2x \) এর ডোমেনও \( [-3, 3] \) হবে।

2. **রেঞ্জ**:
- \( \sin x \) এর রেঞ্জ হলো \( [-1, 1] \)।
- \( 3 \sin 2x \) ফাংশনটি একটি দ্বিগুণ ফাংশন যা \( \sin 2x \) এর উপর প্রয়োগ করা হয়েছে। \( \sin 2x \) এর রেঞ্জ \( [-1, 1] \), তাই \( 3 \sin 2x \) এর রেঞ্জও \( [-3, 3] \) হবে।

সুতরাং, ডোমেন তিনগুণ হয়ে \( [-3, 3] \) হবে, এবং রেঞ্জও তিনগুণ হয়ে \( [-3, 3] \) হবে।

উত্তর: C।","C","False"
"ধরা যাক, কোন $a,b,c$ এর জন্য $a+b+c = 1$, $ab+ac+bc = abc = -4$ হয়। $a^3+b^3+c^3$ এর মান কত?","0","1","112","12","B","high_school_mathematics","প্রদত্ত সমীকরণগুলি ব্যবহার করে \(a^3 + b^3 + c^3\) এর মান বের করতে হবে। প্রদত্ত শর্তগুলি হল:
1. \(a + b + c = 1\)
2. \(ab + ac + bc = -c\)
3. \(abc = -4\)

প্রথমে, \(a^3 + b^3 + c^3\) এর সূত্রটি ব্যবহার করি:
\[
a^3 + b^3 + c^3 = (a + b + c)^3 - 3(a + b + c)(ab + ac + bc) + 3abc
\]

প্রদত্ত মানগুলি সূত্রে বসাই:
\[
a^3 + b^3 + c^3 = 1^3 - 3(1)(-c) + 3(-4)
\]

প্রতিটি পদ সরলীকরণ করি:
\[
a^3 + b^3 + c^3 = 1 + 3c + 12
\]

এখন, \(c\) এর মান বের করতে হবে। \(ab + ac + bc = -c\) এবং \(abc = -4\) ব্যবহার করে, আমরা \(c\) এর জন্য একটি বহুপদী সমাধান করতে পারি। বহুপদীটি হবে:
\[
x^3 + px^2 + qx + r = 0
\]

\(a\), \(b\), এবং \(c\) এর মান বসিয়ে আমরা পাই:
\[
-4 = 0 \cdot x^3 + p \cdot x^2 + q \cdot x + r
\]

এটি থেকে আমরা পাই:
\[
abc = -4 \Rightarrow r = -4
\]

এখন, \(x^3 + px^2 + qx = -4\) এর জন্য রুট বের করি। \(a + b + c = 1\) এবং \(ab + ac + bc = -c\) ব্যবহার করে, আমরা \(p\) এবং \(q\) এর মান বের করতে পারি।

প্রথমে, \(c\) এর মান বের করি। \(abc = -4\) ব্যবহার করে, আমরা ধরে নিতে পারি \(a\), \(b\), এবং \(c\) হলো \(-2\), \(-2\), এবং \(1\)। এই মানগুলি শর্তগুলি পূরণ করে কিনা তা পরীক্ষা করি:
\[
a + b + c = -2 - 2 + 1 = -3 \quad \text{(1 + 1 = 2 নয়)}","C","False"
"নিম্নলিখিত রাশিটিকে সরল করুন: $(9x^9+7x^8+4x^7) + (x^{11}+x^9+2x^7+3x^3+5x+8).$ আপনার উত্তরটি ডিগ্রীসহ একটি অবরোহ ক্রমের বহুপদী হিসেবে প্রকাশ করুন।","x^{11}+2x^9+2x^8","x^{11}-6x^8+6x^7+3x^3+5x+8","x^11 + 10x^9 + 7x^8+6x^73x^3+5x+8","x^{11}+10x^9+7x^8+6x^7+3x^3+5x+8","D","high_school_mathematics","প্রদত্ত রাশিটিকে সরল করতে, আমরা একই ডিগ্রির পদগুলিকে একত্রিত করব।

প্রদত্ত রাশিটি হলো:
\[
(9x^9 + 7x^8 + 4x^7) + (x^{11} + x^9 + 2x^7 + 3x^3 + 5x + 8)
\]

একই ডিগ্রির পদগুলি যোগ করি:
- \(x^{11}\) পদ: \(0 + 1 = 1\)
- \(x^9\) পদ: \(9x^9 + x^9 = 10x^9\)
- \(x^8\) পদ: \(7x^8\)
- \(x^7\) পদ: \(4x^7 + 2x^7 = 6x^7\)
- \(x^3\) পদ: \(3x^3\)
- \(x\) পদ: \(5x\)
- ধ্রুবক পদ: \(8\)

সবকিছু একত্রিত করে, আমরা পাই:
\[
x^{11} + 10x^9 + 7x^8 + 6x^7 + 3x^3 + 5x + 8
\]

অতএব, সরলীকৃত বহুপদীটি হলো:
\[
x^{11} + 10x^9 + 7x^8 + 6x^7 + 3x^3 + 5x + 8
\]

উত্তর: D","D","True"
"রেস্টুরেন্টে সাধারণ বখশিশ হল করের আগে বিলের $15\%$। ক্যালিফোর্নিয়ায় অনেকে বখশিশ হিসাব করে বিক্রয় কর দ্বিগুণ করে, যা হল $8.25\%$। করের আগে $ \$60 $ এর বিলে এই উপায়ে কত সেন্ট অতিরিক্ত বখশিশ হচ্ছে?","90","80","70","60","A","high_school_mathematics","ক্যালিফোর্নিয়ায় অতিরিক্ত বখশিশের পরিমাণ বের করতে, প্রথমে $60 বিলের করের আগে $15% বখশিশ হিসাব করি।

\[ \text{বখশিশ (15%)} = 0.15 \times 60 = 9 \]

এরপর, $60 বিলের বিক্রয় কর হিসাব করি, যা হল $8.25%:

\[ \text{বিক্রয় কর (8.25%)} = 0.0825 \times 60 = 4.95 \]

বিক্রয় কর $4.95, যা $5 এর কাছাকাছি। যেহেতু সমস্যাটি রাউন্ডিং নির্দেশ করে না, আমরা ধরে নেব এটি সঠিক মান।

অতিরিক্ত বখশিশ হল করের আগে বখশিশ এবং বিক্রয় করের পার্থক্য:

\[ \text{অতিরিক্ত বখশিশ} = 9 - 4.95 = 4.05 \]

যাইহোক, প্রদত্ত অপশনগুলি পূর্ণ সংখ্যায় রয়েছে, এবং $4.05 এর নিকটতম পূর্ণ সংখ্যা $4। কিন্তু যেহেতু $4.05 $4 এর কাছাকাছি, এবং অপশনগুলি হল 90, 80, 70, এবং 60, তাই নিকটতম এবং যৌক্তিক উত্তর হল $60।

উত্তর: D","D","False"
"সেট $\{\frac{2}{5}, \frac{1}{2},5,10\}$ এর যেকোনো দুটি পৃথক সদস্যের মধ্যে সর্বোচ্চ সম্ভব ভাগফল কত? নির্দিষ্টভাবে, আমরা $\frac{x}{y}$ এর সর্বাধিক মান বের করতে চাই, যেখানে $x$ এবং $y$ আগের সেট থেকে নেওয়া হবে।","5","10","20","25","D","high_school_mathematics","$\{\frac{2}{5}, \frac{1}{2}, 5, 10\}$ সেটের যেকোনো দুটি পৃথক সদস্যের মধ্যে সর্বোচ্চ সম্ভব ভাগফল বের করতে, আমাদের সেটের সবচেয়ে বড় দুটি ভগ্নাংশের গুণফল বিবেচনা করতে হবে।

প্রথমে, ভগ্নাংশগুলিকে ঊর্ধ্বক্রমে সাজাই:
\[
5, 10, \frac{1}{2}, \frac{2}{5}
\]

এরপর, এই সাজানো তালিকা থেকে সবচেয়ে বড় দুটি ভগ্নাংশের গুণফল বের করব:
\[
5 \times 10 = 50
\]

সুতরাং, $\{\frac{2}{5}, \frac{1}{2}, 5, 10\}$ সেটের যেকোনো দুটি পৃথক সদস্যের মধ্যে সর্বোচ্চ সম্ভব ভাগফল হলো 50।

উত্তর: D","D","True"
